Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,12,0.000172,861480,5.000065,4.55
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,13,0.000202,861480,4.258153,3.87
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,14,0.000259,861480,3.330281,3.03
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,15,0.000198,861480,4.361040,3.97
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,16,0.000239,861480,3.610925,3.28
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,17,0.000179,861480,4.814210,4.38
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,18,0.000210,861480,4.107309,3.74
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,19,0.000173,861480,4.973705,4.52
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,20,0.000197,861480,4.381449,3.99
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,21,0.000176,861480,4.885042,4.44
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,22,0.000893,861480,0.964981,0.88
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,23,0.000428,861480,2.013161,1.83
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,24,0.000304,861480,2.837267,2.58
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,25,0.000384,861480,2.244022,2.04
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,26,0.000361,861480,2.388129,2.17
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,27,0.000216,861480,3.988337,3.63
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,28,0.000225,861480,3.822723,3.48
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,29,0.000226,861480,3.815997,3.47
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,30,0.000239,861480,3.606287,3.28
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,31,0.000238,861480,3.612745,3.29
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,32,0.000252,861480,3.422561,3.11
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,33,0.000252,861480,3.423448,3.11
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,34,0.000249,861480,3.457899,3.15
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,35,0.000259,861480,3.330371,3.03
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,36,0.000266,861480,3.242340,2.95
