Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,21,0.000100,861480,8.647068,4.81
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,22,0.000126,861480,6.812819,3.79
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,23,0.000520,861480,1.657550,0.92
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,24,0.000460,861480,1.870753,1.04
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,25,0.000385,861480,2.237562,1.25
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,26,0.001316,861480,0.654704,0.36
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,27,0.001230,861480,0.700551,0.39
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,28,0.000202,861480,4.267160,2.38
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,29,0.002117,861480,0.406848,0.23
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,30,0.002066,861480,0.416991,0.23
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,31,0.001014,861480,0.849969,0.47
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,32,0.000979,861480,0.879675,0.49
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,33,0.000997,861480,0.864222,0.48
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,34,0.000161,861480,5.352803,2.98
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,35,0.000171,861480,5.042793,2.81
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,36,0.000166,861480,5.202076,2.90
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,37,0.000175,861480,4.924966,2.74
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,38,0.000172,861480,5.008512,2.79
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,39,0.000190,861480,4.523671,2.52
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,40,0.000195,861480,4.413560,2.46
ML_Laplace.mtx,377002,377002,27689972,0.06982063,2,0.022985,55379944,2.409441,1.34
ML_Laplace.mtx,377002,377002,27689972,0.06982063,3,0.016534,55379944,3.349518,1.86
ML_Laplace.mtx,377002,377002,27689972,0.06982063,4,0.014227,55379944,3.892647,2.16
ML_Laplace.mtx,377002,377002,27689972,0.06982063,5,0.012966,55379944,4.271301,2.37
ML_Laplace.mtx,377002,377002,27689972,0.06982063,6,0.012255,55379944,4.518888,2.51
ML_Laplace.mtx,377002,377002,27689972,0.06982063,7,0.011967,55379944,4.627714,2.57
ML_Laplace.mtx,377002,377002,27689972,0.06982063,8,0.011504,55379944,4.813956,2.67
ML_Laplace.mtx,377002,377002,27689972,0.06982063,9,0.011247,55379944,4.923988,2.73
ML_Laplace.mtx,377002,377002,27689972,0.06982063,10,0.011982,55379944,4.622077,2.56
ML_Laplace.mtx,377002,377002,27689972,0.06982063,11,0.011952,55379944,4.633407,2.57
ML_Laplace.mtx,377002,377002,27689972,0.06982063,12,0.011876,55379944,4.663073,2.59
ML_Laplace.mtx,377002,377002,27689972,0.06982063,13,0.012701,55379944,4.360435,2.42
ML_Laplace.mtx,377002,377002,27689972,0.06982063,14,0.012283,55379944,4.508779,2.50
ML_Laplace.mtx,377002,377002,27689972,0.06982063,15,0.011750,55379944,4.713342,2.62
ML_Laplace.mtx,377002,377002,27689972,0.06982063,16,0.012349,55379944,4.484721,2.49
ML_Laplace.mtx,377002,377002,27689972,0.06982063,17,0.012183,55379944,4.545634,2.52
ML_Laplace.mtx,377002,377002,27689972,0.06982063,18,0.012084,55379944,4.582741,2.54
ML_Laplace.mtx,377002,377002,27689972,0.06982063,19,0.011968,55379944,4.627383,2.57
ML_Laplace.mtx,377002,377002,27689972,0.06982063,20,0.012115,55379944,4.571044,2.54
ML_Laplace.mtx,377002,377002,27689972,0.06982063,21,0.012339,55379944,4.488127,2.49
ML_Laplace.mtx,377002,377002,27689972,0.06982063,22,0.012256,55379944,4.518610,2.51
ML_Laplace.mtx,377002,377002,27689972,0.06982063,23,0.012173,55379944,4.549353,2.52
ML_Laplace.mtx,377002,377002,27689972,0.06982063,24,0.012123,55379944,4.568172,2.53
ML_Laplace.mtx,377002,377002,27689972,0.06982063,25,0.012499,55379944,4.430892,2.46
